IATA,flight_count,origin_flight_count,dest_flight_count,avg_flight_time,avg_actual_elapsed_time,avg_scheduled_elapsed_time,avg_air_time,avg_distance,avg_dep_delay,avg_arr_delay,cancelled_origin_count,diverted_origin_count,unique_destinations,unique_origins,unique_connections
STX,1261.0,630.0,631.0,206.34,206.34,204.75,181.66,1348.08,-0.51,3.2,5.0,3.0,3.0,4.0,7.0
SCC,808.0,404.0,404.0,93.7,93.7,96.91,84.49,600.32,2.83,3.31,26.0,0.0,2.0,2.0,4.0
ITO,714.0,357.0,357.0,45.48,45.48,47.0,34.93,216.0,-2.23,-2.31,0.0,0.0,1.0,1.0,2.0
AKN,694.0,347.0,347.0,63.25,63.25,66.42,54.77,367.71,8.54,3.47,8.0,6.0,3.0,2.0,5.0
WYS,663.0,333.0,330.0,61.34,61.34,76.06,153.65,272.61,1.63,-5.14,11.0,1.0,2.0,1.0,3.0
MQT,621.0,311.0,310.0,56.53,56.53,58.96,40.0,207.23,4.93,22.59,17.0,1.0,2.0,2.0,4.0
BQN,588.0,294.0,294.0,235.51,235.51,236.55,212.09,1585.0,2.91,10.03,2.0,0.0,1.0,1.0,2.0
DLG,566.0,283.0,283.0,56.26,56.26,58.37,47.35,329.0,12.15,6.29,20.0,1.0,1.0,2.0,3.0
GUC,458.0,229.0,229.0,127.03,127.03,127.03,107.01,794.14,-1.67,-4.36,2.0,1.0,3.0,3.0,6.0
LWB,386.0,193.0,193.0,81.4,81.4,85.0,64.03,369.0,2.23,1.66,0.0,0.0,1.0,1.0,2.0
ACK,386.0,193.0,193.0,75.66,75.66,74.83,56.45,218.0,7.21,11.84,5.0,1.0,1.0,1.0,2.0
ACY,264.0,132.0,132.0,67.17,67.17,82.73,49.95,274.0,1.12,-6.74,5.0,0.0,1.0,1.0,2.0
GST,182.0,91.0,91.0,25.17,25.17,26.0,13.63,41.0,1.1,3.78,1.0,0.0,1.0,1.0,2.0
ADK,148.0,74.0,74.0,127.51,127.51,136.58,117.38,917.76,19.12,14.24,6.0,0.0,2.0,2.0,4.0
ERI,123.0,61.0,62.0,78.92,78.92,82.0,60.97,316.0,-2.27,12.07,2.0,0.0,1.0,1.0,2.0
MKK,122.0,61.0,61.0,22.26,22.26,27.0,14.26,46.0,-3.47,-6.07,4.0,0.0,1.0,1.0,2.0
LNY,122.0,61.0,61.0,15.95,15.95,15.92,7.74,27.0,-5.72,-0.85,3.0,1.0,1.0,1.0,2.0
FMN,4.0,2.0,2.0,33.0,33.0,69.0,23.5,148.0,185.5,,0.0,0.0,1.0,2.0,3.0
SUX,3.0,1.0,2.0,41.0,41.0,143.0,19.0,80.0,420.0,,0.0,0.0,1.0,1.0,2.0
PUB,2.0,0.0,2.0,,,,,,,,0.0,0.0,0.0,1.0,1.0
CYS,2.0,1.0,1.0,40.0,40.0,25.0,22.0,90.0,185.0,,0.0,0.0,1.0,1.0,2.0
BFF,2.0,1.0,1.0,41.0,41.0,79.0,194.0,152.0,131.0,,0.0,0.0,1.0,1.0,2.0
OGD,1.0,1.0,0.0,,,112.0,,28.0,0.0,,0.0,1.0,1.0,0.0,1.0
