IATA,flight_count,origin_flight_count,dest_flight_count,avg_flight_time,avg_actual_elapsed_time,avg_scheduled_elapsed_time,avg_air_time,avg_distance,avg_dep_delay,avg_arr_delay,cancelled_origin_count,diverted_origin_count,unique_destinations,unique_origins,unique_connections
BTV,14375.0,7188.0,7187.0,88.62,88.62,89.27,69.16,390.63,6.84,5.44,206.0,13.0,9.0,10.0,19.0
PNS,13627.0,6815.0,6812.0,82.51,82.51,82.28,72.11,384.76,4.13,6.98,68.0,14.0,9.0,6.0,15.0
LEX,13616.0,6808.0,6808.0,87.28,87.28,85.58,66.81,361.84,6.99,10.42,137.0,10.0,10.0,9.0,19.0
HSV,13592.0,6798.0,6794.0,94.81,94.81,94.62,72.25,437.36,2.72,5.04,158.0,11.0,9.0,9.0,18.0
OGG,12548.0,6274.0,6274.0,263.76,263.76,267.78,248.5,2200.75,1.75,1.55,20.0,23.0,13.0,13.0,26.0
FWA,12198.0,6097.0,6101.0,74.86,74.86,75.75,54.92,297.09,5.13,7.77,239.0,4.0,5.0,5.0,10.0
GPT,11498.0,5747.0,5751.0,86.4,86.4,85.56,66.11,384.48,5.43,5.78,59.0,7.0,10.0,10.0,20.0
HRL,11421.0,5711.0,5710.0,59.9,59.9,61.37,48.03,275.46,5.34,3.71,69.0,47.0,4.0,4.0,8.0
SBP,11188.0,5596.0,5592.0,59.3,59.3,62.57,64.55,166.52,3.13,-1.32,61.0,5.0,4.0,4.0,8.0
MYR,11132.0,5565.0,5567.0,77.09,77.09,78.04,56.67,289.46,3.23,5.69,63.0,4.0,7.0,8.0,15.0
CRW,11101.0,5551.0,5550.0,85.26,85.26,87.09,67.06,376.26,5.56,6.39,223.0,9.0,9.0,8.0,17.0
CID,10922.0,5462.0,5460.0,76.73,76.73,75.3,65.96,333.33,4.13,6.2,173.0,9.0,7.0,5.0,12.0
FAI,10838.0,5420.0,5418.0,92.3,92.3,93.88,78.52,552.55,2.35,3.77,168.0,18.0,5.0,5.0,10.0
VPS,10823.0,5412.0,5411.0,89.51,89.51,89.23,71.91,375.39,3.79,7.6,76.0,14.0,9.0,8.0,17.0
MOB,9897.0,4949.0,4948.0,84.04,84.04,83.31,64.77,383.95,3.88,5.75,71.0,9.0,7.0,5.0,12.0
ROA,9694.0,4846.0,4848.0,85.79,85.79,87.12,65.87,332.53,4.33,6.88,275.0,6.0,6.0,6.0,12.0
LAN,9690.0,4845.0,4845.0,59.66,59.66,60.19,40.84,185.05,1.75,6.72,136.0,5.0,4.0,4.0,8.0
GRB,9416.0,4707.0,4709.0,64.46,64.46,64.3,44.84,235.31,0.53,5.49,101.0,3.0,3.0,3.0,6.0
JNU,9009.0,4504.0,4505.0,84.72,84.72,85.45,68.39,465.91,8.87,4.14,147.0,69.0,7.0,7.0,14.0
ILE,9006.0,4508.0,4498.0,58.2,58.2,60.74,43.21,136.81,0.24,2.27,140.0,2.0,2.0,4.0,6.0
CAK,8907.0,4453.0,4454.0,102.15,102.15,102.4,78.41,492.88,8.42,10.8,82.0,9.0,6.0,6.0,12.0
TOL,8858.0,4429.0,4429.0,69.27,69.27,70.08,50.97,252.53,5.55,12.45,142.0,6.0,4.0,5.0,9.0
PHF,8791.0,4395.0,4396.0,102.78,102.78,102.9,81.23,474.95,8.55,9.39,111.0,6.0,6.0,4.0,10.0
BIL,8681.0,4339.0,4342.0,82.86,82.86,85.79,107.34,471.94,0.58,1.88,49.0,1.0,7.0,4.0,11.0
AGS,8644.0,4321.0,4323.0,78.6,78.6,78.63,58.11,303.22,8.01,7.78,135.0,8.0,7.0,11.0,18.0
EVV,8567.0,4284.0,4283.0,68.04,68.04,69.69,48.44,262.36,4.04,6.15,160.0,4.0,5.0,4.0,9.0
SGF,8475.0,4216.0,4259.0,96.64,96.64,98.88,92.02,413.49,5.75,3.98,121.0,6.0,5.0,5.0,10.0
FAR,8439.0,4220.0,4219.0,78.62,78.62,81.88,50.19,385.79,1.37,4.36,95.0,3.0,5.0,3.0,8.0
MFR,8422.0,4250.0,4172.0,72.94,72.94,77.7,136.75,322.22,7.26,2.62,73.0,4.0,6.0,5.0,11.0
SRQ,8412.0,4206.0,4206.0,113.99,113.99,114.82,93.75,632.23,2.29,5.44,28.0,2.0,10.0,12.0,22.0
JAC,8297.0,4156.0,4141.0,82.1,82.1,83.89,93.68,402.33,5.53,2.41,80.0,5.0,9.0,10.0,19.0
RAP,8228.0,4093.0,4135.0,80.98,80.98,83.27,132.75,418.72,3.59,2.4,46.0,5.0,7.0,7.0,14.0
