Origin,Dest,flight_count,avg_distance,avg_air_time,avg_dep_delay,avg_arr_delay
ABE,ATL,1540,1113.66,102.66,8.64,7.78
ABE,CLT,731,774.09,77.11,2.82,3.61
ABE,DTW,1470,682.36,74.31,6.28,2.41
ABE,MCO,1218,1458.06,129.19,4.52,0.4
ABE,MDT,1859,123.92,20.46,5.86,4.97
ABE,ORD,2761,1052.51,103.23,10.1,11.73
ABE,PIT,2812,407.16,49.07,4.84,6.06
ABQ,AMA,1373,445.79,41.11,13.73,11.48
ABQ,ATL,2129,2042.25,155.07,6.62,5.49
ABQ,BWI,22,2687.6,190.91,8.36,-6.5
ABQ,CVG,1441,1995.58,149.83,6.33,2.71
ABQ,DAL,5003,933.42,78.94,9.6,6.19
ABQ,DEN,5752,561.66,53.51,7.47,8.06
ABQ,DFW,5780,915.71,77.39,3.93,3.97
ABQ,ELP,3611,358.88,37.01,8.72,7.59
ABQ,EWR,44,2904.86,226.42,-0.28,-8.86
ABQ,HOU,1242,1221.49,99.26,6.47,2.17
ABQ,IAH,3566,1197.35,101.52,2.56,3.58
ABQ,LAS,4073,783.75,71.94,10.95,9.21
ABQ,LAX,4939,1089.52,98.54,10.43,4.89
ABQ,LBB,1389,465.1,41.88,7.37,5.62
ABQ,MAF,732,534.3,46.21,11.13,9.51
ABQ,MCI,1993,1155.51,92.57,11.56,6.89
ABQ,MCO,740,2497.7,187.16,3.61,-5.02
ABQ,MDW,50,1804.07,138.62,11.56,0.62
ABQ,MSP,1476,1578.76,130.61,6.59,2.53
ABQ,OAK,1359,1430.7,127.62,12.96,5.96
ABQ,ORD,1319,1799.24,139.03,8.43,11.75
ABQ,PHX,13810,527.86,58.99,11.31,11.06
ABQ,SAN,2181,1010.67,91.62,12.18,6.9
ABQ,SEA,545,1899.02,166.69,4.89,-3.1
ABQ,SLC,2668,793.4,74.31,6.9,4.23
ABQ,STL,4910,1503.12,118.35,8.46,5.3
ABQ,TPA,731,2409.18,179.73,14.91,7.36
ABQ,TUS,845,516.6,50.48,11.97,10.57
ADQ,ANC,1453,405.55,40.2,10.65,10.39
AGS,ATL,2265,230.14,33.98,3.67,1.31
AGS,SAV,180,154.5,20.62,3.6,2.08
AKN,ANC,383,465.1,44.04,8.81,7.05
AKN,DLG,284,114.26,19.08,15.27,14.12
ALB,ATL,2127,1371.16,126.2,11.55,11.08
ALB,BDL,1,128.75,22.0,14.0,35.0
ALB,BWI,1583,463.49,55.3,13.87,12.96
