IATA,flight_count,origin_flight_count,dest_flight_count,avg_flight_time,avg_actual_elapsed_time,avg_scheduled_elapsed_time,avg_air_time,avg_distance,avg_dep_delay,avg_arr_delay,cancelled_origin_count,diverted_origin_count,unique_destinations,unique_origins,unique_connections
ORD,1190170,595022,595148,142.71,142.71,141.77,116.69,1370.14,14.56,14.24,35303,1447,98,98,196
ATL,1058168,529573,528595,119.88,119.88,120.38,93.49,1068.41,11.23,8.19,16137,1057,97,98,195
DFW,984122,491949,492173,147.93,147.93,149.56,122.35,1475.36,10.69,5.85,15963,1410,91,92,183
LAX,807862,403880,403982,162.65,162.65,163.38,140.57,1818.6,11.56,10.53,13715,755,64,63,127
PHX,733226,366629,366597,129.22,129.22,129.93,108.87,1332.34,13.22,10.38,7701,681,67,67,134
STL,690592,345314,345278,117.91,117.91,119.8,94.63,1068.31,10.97,7.41,7392,789,80,80,160
DTW,615381,307682,307699,118.79,118.79,118.97,92.2,1008.31,10.95,5.13,9546,816,85,85,170
MSP,581397,290703,290694,134.64,134.64,134.52,109.05,1268.48,8.4,3.13,7808,806,93,93,186
DEN,546186,273079,273107,136.61,136.61,136.53,114.88,1435.99,12.28,10.52,6657,641,65,65,130
SFO,544031,271984,272047,170.17,170.17,170.4,146.24,1912.95,13.61,15.8,12387,621,49,50,99
LAS,525845,262888,262957,123.4,123.4,124.19,103.14,1274.18,13.08,11.16,3665,610,66,66,132
IAH,521117,260519,260598,144.2,144.2,145.25,120.14,1455.99,8.67,6.37,3892,506,84,83,167
CLT,502422,251212,251210,98.52,98.52,98.33,77.53,802.57,9.34,6.49,8434,660,70,69,139
EWR,500618,250306,250312,186.84,186.84,187.48,151.34,1716.71,11.94,13.24,12094,534,71,71,142
PHL,472763,236386,236377,143.95,143.95,142.44,116.33,1256.45,13.28,12.77,12125,575,61,61,122
BOS,441708,220846,220862,168.24,168.24,168.45,140.99,1523.81,11.23,12.44,13949,628,44,47,91
SEA,416175,208070,208105,163.75,163.75,164.59,143.15,1801.1,11.39,11.68,5523,559,46,46,92
PIT,415168,207550,207618,107.47,107.47,106.66,86.41,917.31,10.06,7.77,6835,496,70,70,140
LGA,405055,202599,202456,143.97,143.97,141.78,108.75,1163.15,12.11,16.8,13065,720,42,44,86
MCO,395763,197877,197886,146.45,146.45,148.28,125.37,1442.96,9.87,8.54,3715,547,55,57,112
BWI,345788,172891,172897,121.68,121.68,123.69,104.05,1122.0,11.24,10.27,3618,339,51,53,104
DCA,336525,168430,168095,109.86,109.86,110.28,86.4,882.42,5.99,6.72,8910,422,46,49,95
SLC,324810,162314,162496,129.86,129.86,132.22,107.06,1318.78,8.1,6.48,2899,345,51,51,102
CVG,302220,151094,151126,124.96,124.96,124.83,100.57,1130.93,8.84,5.16,4370,347,66,66,132
SAN,281700,140950,140750,133.25,133.25,134.69,114.77,1424.76,10.34,9.82,2780,329,39,37,76
IAD,272917,136439,136478,160.72,160.72,159.48,135.19,1524.28,11.98,10.47,6921,252,43,45,88
MIA,266513,133213,133300,173.06,173.06,174.77,145.77,1735.2,12.39,10.09,3415,553,40,41,81
TPA,249701,124831,124870,134.21,134.21,136.31,115.29,1320.12,10.09,10.81,2159,333,46,45,91
SJC,247872,123934,123938,124.51,124.51,124.54,104.6,1260.61,9.55,9.34,2610,243,32,33,65
MCI,244538,122247,122291,110.31,110.31,112.25,92.74,1047.57,8.68,8.61,1972,321,41,39,80
PDX,228429,114231,114198,138.94,138.94,140.24,121.37,1499.04,8.88,9.06,2283,247,32,32,64
CLE,228056,114025,114031,122.8,122.8,122.91,99.77,1082.49,8.09,8.17,2813,284,47,48,95
HOU,227298,113641,113657,77.89,77.89,80.03,65.94,715.06,11.38,7.74,2335,288,33,33,66
OAK,225242,112592,112650,94.26,94.26,95.87,79.71,895.0,10.34,9.21,1582,179,25,24,49
