Origin,Dest,flight_count,avg_distance,avg_air_time,avg_dep_delay,avg_arr_delay
EAU,MSP,72,136.79,24.77,7.61,5.88
EFD,IAH,2649,45.06,14.52,-2.04,1.61
EGE,ATL,538,2111.45,154.49,9.22,8.51
EGE,CLT,59,2341.59,168.09,18.56,20.5
EGE,CVG,82,1913.51,142.46,11.41,10.17
EGE,DEN,4038,194.73,37.22,6.91,6.17
EGE,DFW,1909,1158.72,94.8,9.16,9.8
EGE,EWR,896,2776.11,202.32,15.34,16.69
EGE,IAH,550,1504.73,125.45,2.63,6.58
EGE,LAX,440,1203.79,106.16,9.09,7.12
EGE,LGA,82,2798.64,198.58,18.58,14.68
EGE,MIA,130,2914.51,207.31,30.87,29.78
EGE,MSP,539,1268.16,104.91,19.38,19.0
EGE,ORD,904,1620.61,126.85,16.91,17.9
EGE,PHL,71,2698.86,195.11,17.03,28.29
EGE,SFO,42,1363.11,121.0,11.29,7.66
EKO,OGD,1,320.26,,-5.0,
EKO,PIH,4,352.45,,6.0,
EKO,RNO,2297,370.15,103.99,6.38,1.65
EKO,SLC,8922,321.87,53.12,1.7,0.44
EKO,TWF,4,214.04,,3.75,
ELM,DTW,1205,532.69,60.04,7.15,6.71
ELP,ABQ,5515,358.88,38.0,5.15,2.36
ELP,ATL,2989,2063.17,156.93,4.91,2.31
ELP,AUS,6696,849.73,69.61,8.09,4.53
ELP,COS,6,791.8,,-0.67,
ELP,DAL,9926,904.45,75.71,7.2,3.19
ELP,DEN,5179,906.06,108.52,3.35,1.47
ELP,DFW,15482,886.75,79.68,4.45,3.76
ELP,GJT,5,833.64,,7.2,
ELP,HOU,5832,1089.52,87.42,7.57,3.23
ELP,IAH,9163,1073.43,93.64,1.99,2.36
ELP,LAS,4401,939.85,86.96,8.49,3.22
ELP,LAX,5337,1149.07,103.12,7.36,0.65
ELP,LBB,1817,474.76,42.26,12.52,10.06
ELP,MAF,1746,395.9,35.44,13.53,11.07
ELP,MFE,1,1009.06,86.0,307.0,316.0
ELP,MTJ,1,754.78,,14.0,
ELP,OGD,1,1157.12,,-5.0,
ELP,ONT,337,1078.26,93.46,0.72,-8.24
ELP,ORD,3818,1989.14,153.02,10.98,11.82
ELP,PHX,18879,558.44,57.42,6.69,3.99
ELP,PIH,2,1348.63,,0.0,
ELP,SAN,1828,1023.54,92.01,9.27,3.56
ELP,SAT,6665,798.23,64.83,7.51,5.05
ELP,SLC,2207,1115.27,122.22,0.13,-0.59
ELP,TUS,114,432.91,44.75,8.32,0.42
ERI,ATL,725,1007.45,93.8,15.02,4.21
ERI,CLE,236,157.72,23.61,2.04,2.11
ERI,CVG,2615,508.55,52.81,1.14,-3.57
ERI,DTW,887,262.32,35.88,5.46,3.69
EUG,BOI,3,564.88,,4.33,
EUG,COS,2,1651.18,,23.5,
EUG,CPR,1,1359.89,,-2.0,
EUG,DEN,3063,1604.51,162.03,7.08,5.72
EUG,GJT,1,1342.19,,26.0,
EUG,IDA,1,899.62,,-4.0,
EUG,LAS,505,1124.93,96.56,9.94,8.47
EUG,LAX,184,1203.79,105.21,7.84,15.97
EUG,MFR,6,196.34,25.8,91.17,73.4
EUG,MRY,2,844.9,,65.0,
EUG,PDX,7986,170.59,28.21,0.37,-0.77
EUG,PHX,1099,1532.09,126.5,1.19,-3.01
EUG,PIH,1,869.04,,-5.0,
EUG,RDM,2,165.76,,-0.5,
EUG,SFO,11636,725.81,100.85,11.99,10.87
EUG,SJC,2,758.0,,-10.0,
EUG,SLC,3248,996.18,93.08,2.73,1.66
EUG,SMF,3,617.99,,60.0,
EUG,TWF,5,730.64,,96.2,
EVV,ATL,6495,563.27,53.09,11.34,8.76
EVV,CVG,5983,273.59,31.32,2.49,-0.7
EVV,DFW,936,1033.2,100.57,10.78,6.79
EVV,DTW,1338,585.8,60.09,6.23,3.49
EVV,LEX,1,257.49,-1412.0,0.0,24.0
EVV,MEM,692,397.51,46.5,1.66,1.81
EVV,MGM,1,645.35,105.0,82.0,62.0
EVV,ORD,9972,439.35,56.46,9.55,11.13
EVV,STL,1,259.1,34.0,0.0,-4.0
EWN,ATL,601,696.84,71.77,17.03,21.49
EWR,ABQ,475,2904.86,249.28,29.54,38.94
EWR,ACK,1064,350.84,43.01,17.58,19.93
EWR,AGS,1068,1066.99,99.56,3.31,2.08
EWR,ALB,6504,230.14,31.87,18.77,19.43
