IATA,lat,lon,flight_count,origin_flight_count,dest_flight_count,avg_flight_time,avg_actual_elapsed_time,avg_scheduled_elapsed_time,avg_air_time,avg_distance,avg_dep_delay,avg_arr_delay,cancelled_origin_count,diverted_origin_count,unique_destinations,unique_origins,unique_connections
ATL,33.64044444,-84.42694444,4076397.0,2042315.0,2034082,117.25,117.25,118.22,81.11,1021.49,12.57,9.39,39379.0,3996.0,194.0,191,385.0
ORD,41.979595,-87.90446417,3660293.0,1830103.0,1830190,128.4,128.4,129.07,103.09,1174.39,14.42,12.31,58507.0,3462.0,161.0,149,310.0
DFW,32.89595056,-97.0372,3166995.0,1583599.0,1583396,128.15,128.15,129.14,105.87,1234.04,9.53,5.51,29511.0,2803.0,157.0,151,308.0
LAX,33.94253611,-118.4080744,2318246.0,1158841.0,1159405,145.42,145.42,147.21,126.9,1561.78,6.66,4.84,13738.0,1807.0,97.0,93,190.0
IAH,29.98047222,-95.33972222,2047477.0,1023706.0,1023771,135.25,135.25,135.68,108.96,1278.7,7.26,5.34,10793.0,2091.0,131.0,129,260.0
DEN,39.85840806,-104.6670019,1906432.0,953282.0,953150,132.82,132.82,133.56,117.31,1349.88,8.64,5.22,13283.0,1699.0,129.0,118,247.0
PHX,33.43416667,-112.0080556,1881566.0,940747.0,940819,137.69,137.69,140.77,118.14,1448.68,8.99,4.27,8856.0,1924.0,97.0,92,189.0
LAS,36.08036111,-115.1523333,1674583.0,837291.0,837292,140.91,140.91,143.41,120.33,1485.4,10.06,6.58,7344.0,1656.0,103.0,99,202.0
EWR,40.69249722,-74.16866056,1553120.0,776601.0,776519,166.97,166.97,166.03,132.74,1455.24,12.66,16.72,23472.0,1555.0,106.0,105,211.0
CVG,39.04614278,-84.6621725,1492680.0,746440.0,746240,105.22,105.22,106.74,78.71,893.08,7.56,3.21,16409.0,1407.0,142.0,141,283.0
