IATA,lat,lon,flight_count,origin_flight_count,dest_flight_count,avg_flight_time,avg_actual_elapsed_time,avg_scheduled_elapsed_time,avg_air_time,avg_distance,avg_dep_delay,avg_arr_delay,cancelled_origin_count,diverted_origin_count,unique_destinations,unique_origins,unique_connections
KTN,55.35556861,-131.71374,25236.0,12620.0,12616,77.84,77.84,75.61,64.63,688.89,8.21,10.35,238.0,122.0,4.0,4,8.0
FAR,46.91934889,-96.81498889,25158.0,12649.0,12509,59.54,59.54,58.16,42.81,396.02,3.44,6.54,303.0,14.0,4.0,4,8.0
GTF,47.48200194,-111.3706853,25152.0,12612.0,12540,75.42,75.42,74.34,64.77,701.39,6.84,6.97,201.0,30.0,5.0,5,10.0
MYR,33.67975,-78.92833333,24375.0,12215.0,12160,49.14,49.14,50.09,37.25,292.18,4.31,7.66,148.0,12.0,6.0,6,12.0
TOL,41.58680556,-83.80783333,24370.0,12203.0,12167,62.24,62.24,60.85,49.81,461.46,4.31,6.81,259.0,23.0,3.0,3,6.0
FAY,34.99147222,-78.88,23701.0,11910.0,11791,43.36,43.36,44.52,33.83,185.95,2.36,4.76,281.0,19.0,2.0,2,4.0
MGM,32.30064417,-86.39397611,23678.0,11851.0,11827,50.81,50.81,48.12,36.81,309.2,5.75,7.95,202.0,11.0,3.0,2,5.0
MLU,32.51086556,-92.03768778,23514.0,11764.0,11750,57.28,57.28,55.71,45.76,424.22,8.07,8.65,117.0,52.0,7.0,7,14.0
AZO,42.234875,-85.5520575,23435.0,11762.0,11673,52.56,52.56,52.61,38.18,304.89,2.21,4.75,394.0,24.0,4.0,4,8.0
EUG,44.12326,-123.2186856,23400.0,11727.0,11673,100.02,100.02,100.67,85.92,977.05,8.7,9.1,109.0,17.0,3.0,3,6.0
LAN,42.7787,-84.58735806,23154.0,11650.0,11504,42.17,42.17,42.32,26.05,176.97,3.64,6.74,275.0,32.0,4.0,4,8.0
ILM,34.27061111,-77.90255556,21293.0,10676.0,10617,50.23,50.23,51.75,39.21,297.73,4.19,6.65,175.0,14.0,1.0,1,2.0
CRW,38.37315083,-81.59318972,20507.0,10289.0,10218,46.52,46.52,48.69,33.68,286.75,5.42,6.12,267.0,8.0,2.0,2,4.0
MSO,46.91630556,-114.0905556,19712.0,9885.0,9827,60.33,60.33,59.6,48.53,490.76,5.3,5.31,160.0,41.0,6.0,6,12.0
MLI,41.44852639,-90.50753917,19585.0,9807.0,9778,61.74,61.74,61.53,41.18,416.33,3.86,6.36,265.0,9.0,4.0,4,8.0
SBA,34.42621194,-119.8403733,17711.0,8901.0,8810,69.51,69.51,70.59,48.4,600.18,9.3,7.91,204.0,13.0,5.0,4,9.0
DLH,46.84209028,-92.19364861,17407.0,8740.0,8667,46.09,46.09,44.97,34.31,231.74,4.19,3.7,321.0,5.0,1.0,1,2.0
BGR,44.80744444,-68.82813889,17391.0,8728.0,8663,59.72,59.72,60.74,42.93,397.97,4.22,8.2,170.0,60.0,9.0,9,18.0
SGF,37.24432611,-93.38685806,17024.0,8549.0,8475,58.68,58.68,59.08,40.28,373.35,4.77,5.87,172.0,4.0,4.0,4,8.0
GNV,29.69005556,-82.27177778,17003.0,8520.0,8483,68.46,68.46,68.29,54.87,500.42,5.91,7.32,131.0,16.0,2.0,2,4.0
JAC,43.60732417,-110.7377389,16916.0,8471.0,8445,65.32,65.32,63.16,50.94,538.0,8.02,8.07,227.0,27.0,5.0,6,11.0
BIS,46.77411111,-100.7467222,16030.0,8049.0,7981,74.17,74.17,73.87,61.74,610.98,2.03,5.91,79.0,7.0,3.0,3,6.0
RAP,44.04532139,-103.0573708,14440.0,7277.0,7163,76.94,76.94,76.25,70.89,716.25,1.28,5.48,88.0,24.0,4.0,4,8.0
ERI,42.08202139,-80.17621556,14253.0,7138.0,7115,39.99,39.99,40.35,29.2,175.42,5.59,6.49,164.0,1.0,1.0,1,2.0
ELM,42.15991361,-76.89144333,13700.0,6865.0,6835,45.33,45.33,45.5,35.9,268.52,3.87,4.95,178.0,21.0,2.0,2,4.0
SIT,57.04713806,-135.3615983,13572.0,6776.0,6796,46.47,46.47,44.02,32.37,310.56,10.49,9.84,105.0,103.0,3.0,4,7.0
