IATA,lat,lon,flight_count,origin_flight_count,dest_flight_count,avg_flight_time,avg_actual_elapsed_time,avg_scheduled_elapsed_time,avg_air_time,avg_distance,avg_dep_delay,avg_arr_delay,cancelled_origin_count,diverted_origin_count,unique_destinations,unique_origins,unique_connections
ORD,41.979595,-87.90446417,2707312.0,1340211.0,1367101.0,132.07,132.07,132.24,,1258.35,9.44,7.56,21870.0,3858.0,125.0,121.0,246.0
DFW,32.89595056,-97.0372,2383639.0,1179601.0,1204038.0,128.66,128.66,128.3,,1268.44,7.76,6.04,8954.0,2592.0,101.0,103.0,204.0
ATL,33.64044444,-84.42694444,2291667.0,1144659.0,1147008.0,101.54,101.54,100.73,,905.5,7.96,7.0,13141.0,2241.0,105.0,108.0,213.0
LAX,33.94253611,-118.4080744,1629642.0,815616.0,814026.0,148.3,148.3,149.7,,1629.67,6.89,6.7,7503.0,1711.0,73.0,73.0,146.0
DEN,39.85840806,-104.6670019,1452671.0,721792.0,730879.0,133.52,133.52,134.92,,1347.86,8.21,7.36,6222.0,2764.0,95.0,99.0,194.0
PHX,33.43416667,-112.0080556,1332096.0,663928.0,668168.0,107.82,107.82,108.94,,1075.58,6.88,5.22,3271.0,1283.0,73.0,75.0,148.0
SFO,37.61900194,-122.3748433,1263840.0,634838.0,629002.0,144.2,144.2,144.92,,1567.25,7.91,8.9,6075.0,1470.0,67.0,66.0,133.0
STL,38.74768694,-90.35998972,1260214.0,625771.0,634443.0,112.75,112.75,113.17,,1016.08,7.01,4.97,6965.0,1814.0,83.0,84.0,167.0
PIT,40.49146583,-80.23287083,1206941.0,600732.0,606209.0,96.2,96.2,96.06,,823.46,8.68,7.21,6531.0,1412.0,98.0,100.0,198.0
DTW,42.21205889,-83.34883583,1187558.0,588232.0,599326.0,106.93,106.93,106.87,,915.21,5.91,4.43,6628.0,1641.0,77.0,79.0,156.0
EWR,40.69249722,-74.16866056,1174213.0,586788.0,587425.0,136.16,136.16,137.26,,1181.3,9.25,9.82,9511.0,1709.0,75.0,74.0,149.0
