Origin,Dest,flight_count,avg_distance,avg_air_time,avg_dep_delay,avg_arr_delay
ABE,ATL,3596,1113.66,106.04,5.63,6.65
ABE,BWI,597,194.73,,2.54,1.17
ABE,CLT,2728,774.09,78.2,3.04,1.98
ABE,CVG,1939,809.5,85.16,1.93,3.18
ABE,DCA,395,243.01,42.67,0.86,0.54
ABE,DTW,5014,682.36,74.81,2.38,3.54
ABE,IND,1,928.59,99.0,-1.0,-15.0
ABE,LGA,202,131.97,,5.69,4.94
ABE,MCO,58,1458.06,136.36,0.05,2.68
ABE,MDT,6359,123.92,20.55,58.68,1.7
ABE,ORD,6730,1052.51,103.02,8.18,6.3
ABE,PIT,7177,407.16,48.05,3.16,2.98
ABE,RDU,3,605.11,,0.67,3.33
ABQ,AMA,3567,445.79,40.93,6.46,4.09
ABQ,ATL,2782,2042.25,149.85,5.0,5.98
ABQ,COS,967,450.62,41.61,4.92,7.1
ABQ,CVG,1800,1995.58,145.98,5.0,5.13
ABQ,DAL,11378,933.42,77.59,6.41,4.29
ABQ,DEN,16939,561.66,53.68,4.9,5.16
ABQ,DFW,18680,915.71,77.78,5.24,6.53
ABQ,ELP,9563,358.88,36.75,6.85,5.97
ABQ,HOU,820,1221.49,98.95,4.05,3.14
ABQ,IAH,8423,1197.35,97.38,2.14,2.42
ABQ,LAS,11436,783.75,71.1,7.1,6.74
ABQ,LAX,12252,1089.52,97.95,9.68,7.8
ABQ,LBB,3520,465.1,41.64,4.77,2.44
ABQ,MAF,1812,534.3,45.78,9.67,8.63
ABQ,MCI,3799,1155.51,91.73,7.67,4.89
ABQ,MCO,116,2497.7,189.12,5.27,-11.78
ABQ,MSP,3675,1578.76,128.72,4.86,2.35
ABQ,ORD,5052,1799.24,139.03,6.6,6.17
ABQ,PHX,35901,527.86,55.86,5.6,4.64
ABQ,PIT,2892,2391.48,179.6,5.29,3.27
ABQ,SAN,4996,1010.67,91.82,9.58,6.1
ABQ,SFO,3596,1441.97,131.86,12.21,10.49
ABQ,SLC,6990,793.4,75.52,5.08,5.03
ABQ,SNA,1,1046.07,97.0,4.0,-7.0
ABQ,STL,11161,1503.12,119.12,7.6,6.01
ABQ,TPA,116,2409.18,175.62,16.28,-6.27
ABQ,TUS,1092,516.6,48.22,14.34,14.75
ACK,EWR,102,350.84,57.26,19.43,20.81
ACK,LGA,20,325.09,44.35,7.3,16.65
ACY,PIT,1358,497.29,,3.01,2.7
ADQ,ANC,2494,405.55,40.22,8.17,9.85
AGS,ATL,9918,230.14,34.62,5.62,6.22
AGS,CAE,1,101.39,,19.0,26.0
AGS,CLT,1977,225.31,35.19,1.54,-1.39
AGS,SAV,1650,154.5,21.04,8.3,9.64
AKN,ANC,1381,465.1,44.95,5.38,9.29
AKN,DLG,759,114.26,18.97,7.1,9.34
ALB,ATL,5252,1371.16,126.48,17.46,9.44
ALB,BDL,2,128.75,19.0,18.0,21.5
ALB,BUF,1582,403.94,44.82,5.13,2.86
ALB,BWI,1187,463.49,56.33,5.73,2.45
ALB,CLT,2548,1039.63,105.55,5.12,2.41
ALB,CVG,4341,1002.62,99.3,3.25,4.07
ALB,DCA,5263,511.77,59.72,5.81,4.28
ALB,DTW,6738,785.36,80.52,3.51,1.99
ALB,EWR,86,230.14,,9.58,8.19
ALB,LGA,223,218.87,,8.65,7.44
ALB,MCO,111,1726.82,158.0,7.92,14.08
ALB,ORD,12469,1163.55,113.06,6.65,4.91
ALB,PHL,7549,341.18,50.02,5.84,5.03
ALB,PIT,7394,590.63,63.36,7.07,5.85
ALB,PVD,213,226.92,31.51,3.24,5.76
ALB,PWM,3397,300.95,31.53,7.35,9.23
ALB,RDU,1452,875.48,91.51,1.88,-0.87
ALB,SYR,8,191.51,,7.5,11.25
ALO,MSP,469,267.15,34.66,-0.04,-4.91
AMA,ABQ,3565,445.79,44.89,6.61,4.77
AMA,DAL,12590,521.43,48.42,7.33,5.27
AMA,DFW,6259,503.72,49.41,4.85,6.03
AMA,LAS,573,1219.88,105.64,1.82,-5.0
AMA,LBB,177,173.81,,4.41,5.65
AMA,SLC,1,1089.52,113.0,-2.0,12.0
ANC,ADQ,2464,405.55,43.44,8.02,10.27
ANC,AKN,1808,465.1,46.89,8.24,10.9
ANC,ANI,217,511.77,50.8,10.13,14.08
ANC,BET,4409,642.13,60.2,8.56,10.5
ANC,BFI,1,2323.89,,,
ANC,BRW,144,1166.77,102.45,7.43,19.73
ANC,CDV,1793,257.49,32.51,10.52,11.88
ANC,DEN,282,3872.07,275.13,17.05,4.76
ANC,DLG,988,529.47,51.71,8.17,12.07
ANC,DTW,533,4805.49,341.04,-1.12,-1.46
ANC,DUT,2201,1274.6,114.15,11.67,12.36
ANC,FAI,17804,420.04,40.57,7.62,9.6
ANC,JNU,5005,918.93,81.15,7.67,9.91
ANC,LAX,744,3773.9,288.73,11.21,10.0
ANC,MSP,2355,4052.32,293.08,2.35,2.94
ANC,OME,2872,867.43,77.97,7.76,10.05
ANC,ORD,946,4580.18,327.12,9.74,7.37
ANC,OTZ,3212,883.53,78.4,9.03,11.28
ANC,PDX,1094,2481.6,187.68,8.79,10.4
ANC,SCC,1996,1007.45,87.79,7.9,10.37
ANC,SEA,36346,2331.93,180.65,6.35,7.29
ANC,SFO,1152,3247.65,253.71,8.4,8.76
ANC,SLC,4737,3419.85,245.08,7.93,8.01
ANI,ANC,215,511.77,,3.0,2.64
ANI,KSM,217,204.39,27.02,10.06,12.76
ATL,ABE,3593,1113.66,92.18,7.56,9.06
ATL,ABQ,2774,2042.25,170.36,12.95,11.7
ATL,AGS,11553,230.14,27.94,7.17,7.38
ATL,ALB,5244,1371.16,105.58,11.67,12.41
ATL,AUS,6140,1308.39,114.9,7.91,8.43
ATL,AVL,3252,263.93,30.56,5.69,6.99
ATL,AVP,2681,1149.07,95.43,7.06,8.94
ATL,BDL,7868,1382.42,110.48,9.92,10.12
ATL,BHM,16647,215.65,28.18,8.86,9.18
ATL,BNA,15845,344.4,38.52,9.28,9.05
ATL,BOS,16859,1522.44,119.2,16.13,16.03
ATL,BTR,5393,722.59,66.72,8.56,10.28
ATL,BUF,5398,1145.85,91.79,10.41,11.92
ATL,BWI,18418,926.98,79.99,9.61,9.55
ATL,CAE,16625,307.38,31.85,9.32,9.34
ATL,CHA,7246,170.59,23.42,6.78,7.04
ATL,CHS,17327,416.82,39.39,9.45,9.58
ATL,CLE,14446,891.57,79.04,6.8,7.25
ATL,CLT,24867,365.32,40.27,7.18,7.02
ATL,CMH,10894,717.77,64.0,10.19,11.19
ATL,COS,424,1907.07,153.12,9.29,-4.87
ATL,CSG,3024,133.58,22.45,4.17,6.47
ATL,CVG,16432,600.28,59.89,9.02,9.66
ATL,DAB,11908,589.02,52.67,8.78,9.62
ATL,DAY,7738,695.23,62.73,7.41,7.85
ATL,DCA,22902,880.31,74.96,8.52,8.7
ATL,DEN,16084,1929.6,162.92,10.55,9.85
ATL,DFW,44849,1178.04,110.17,10.0,10.43
ATL,DTW,25081,955.95,87.89,8.37,8.41
ATL,EGE,192,2111.45,186.58,13.88,16.48
ATL,ELP,1019,2063.17,167.46,6.21,-9.07
ATL,EWR,32809,1198.96,104.85,13.98,15.42
ATL,FLL,16343,935.03,80.81,15.97,16.97
ATL,FWA,1801,817.54,70.54,9.63,10.21
ATL,GNV,7451,482.8,45.8,7.86,8.32
ATL,GSO,16844,492.46,48.55,7.44,8.66
