IATA,lat,lon,flight_count,origin_flight_count,dest_flight_count,avg_flight_time,avg_actual_elapsed_time,avg_scheduled_elapsed_time,avg_air_time,avg_distance,avg_dep_delay,avg_arr_delay,cancelled_origin_count,diverted_origin_count,unique_destinations,unique_origins,unique_connections
ORD,41.979595,-87.90446417,3117394.0,1558590.0,1558804.0,136.94,136.94,137.43,112.04,1308.98,11.65,9.33,70135.0,3363.0,120.0,120.0,240.0
DFW,32.89595056,-97.0372,2659254.0,1329297.0,1329957.0,140.23,140.23,142.75,115.44,1371.68,8.92,3.77,38007.0,3048.0,121.0,121.0,242.0
ATL,33.64044444,-84.42694444,2535824.0,1268552.0,1267272.0,119.45,119.45,120.06,93.87,1074.9,9.9,6.97,33305.0,2316.0,107.0,109.0,216.0
LAX,33.94253611,-118.4080744,1990923.0,995343.0,995580.0,158.5,158.5,160.55,137.21,1765.92,9.3,7.31,30497.0,1647.0,71.0,72.0,143.0
PHX,33.43416667,-112.0080556,1791702.0,895895.0,895807.0,129.49,129.49,131.32,109.58,1346.34,11.32,7.77,17424.0,1589.0,70.0,70.0,140.0
STL,38.74768694,-90.35998972,1632257.0,816096.0,816161.0,119.19,119.19,121.4,95.93,1084.64,9.24,5.94,17292.0,1747.0,83.0,81.0,164.0
DTW,42.21205889,-83.34883583,1501109.0,750543.0,750566.0,117.8,117.8,118.62,92.21,1006.58,10.65,4.16,27927.0,1896.0,86.0,87.0,173.0
MSP,44.88054694,-93.2169225,1422784.0,711443.0,711341.0,135.07,135.07,135.62,109.76,1278.56,8.2,2.79,24030.0,1847.0,98.0,97.0,195.0
DEN,39.85840806,-104.6670019,1324743.0,662293.0,662450.0,136.67,136.67,137.33,115.35,1440.85,10.22,7.3,14978.0,1376.0,68.0,69.0,137.0
LAS,36.08036111,-115.1523333,1298123.0,648966.0,649157.0,123.71,123.71,125.68,103.86,1284.82,11.03,8.68,8941.0,1398.0,71.0,70.0,141.0
IAH,29.98047222,-95.33972222,1267921.0,633899.0,634022.0,145.08,145.08,145.51,120.32,1460.83,7.03,4.94,9317.0,1157.0,90.0,88.0,178.0
SFO,37.61900194,-122.3748433,1265697.0,632860.0,632837.0,171.39,171.39,172.55,147.87,1943.27,11.6,13.03,25489.0,1255.0,52.0,54.0,106.0
CLT,35.21401111,-80.94312583,1230516.0,615285.0,615231.0,100.12,100.12,101.23,78.7,823.15,7.73,4.31,16964.0,1231.0,71.0,72.0,143.0
EWR,40.69249722,-74.16866056,1186880.0,593457.0,593423.0,185.66,185.66,186.68,151.65,1716.89,9.54,9.41,24092.0,1320.0,79.0,77.0,156.0
PHL,39.87195278,-75.24114083,1152126.0,575827.0,576299.0,143.22,143.22,143.66,116.11,1256.69,10.68,9.18,23728.0,1394.0,61.0,62.0,123.0
BOS,42.3643475,-71.00517917,1124249.0,562094.0,562155.0,159.47,159.47,160.94,133.51,1426.74,9.49,7.91,30921.0,1333.0,56.0,58.0,114.0
SEA,47.44898194,-122.3093131,1019458.0,509720.0,509738.0,164.92,164.92,166.26,144.53,1823.13,9.85,9.58,11809.0,1284.0,50.0,50.0,100.0
LGA,40.77724306,-73.87260917,1013830.0,507034.0,506796.0,139.13,139.13,140.65,106.78,1138.45,9.04,10.21,28031.0,1538.0,50.0,54.0,104.0
PIT,40.49146583,-80.23287083,1010611.0,505486.0,505125.0,108.87,108.87,109.41,87.9,937.95,7.78,4.95,14412.0,1049.0,73.0,73.0,146.0
MCO,28.42888889,-81.31602778,940795.0,470396.0,470399.0,144.17,144.17,146.8,123.6,1420.56,7.9,6.17,7866.0,1173.0,59.0,61.0,120.0
BWI,39.17540167,-76.66819833,859151.0,429564.0,429587.0,120.6,120.6,123.08,103.07,1106.03,9.69,7.45,7892.0,756.0,59.0,60.0,119.0
