Origin,Dest,flight_count,avg_distance,avg_air_time,avg_dep_delay,avg_arr_delay
ABE,ATL,3086,1113.66,102.79,7.25,6.03
ABE,CLT,1813,774.09,77.82,0.91,2.97
ABE,CVG,300,809.5,85.38,-2.57,-4.99
ABE,DTW,3595,682.36,74.82,4.73,2.02
ABE,MCO,1810,1458.06,129.49,4.48,1.01
ABE,MDT,3381,123.92,20.49,4.48,3.95
ABE,ORD,5302,1052.51,103.1,8.82,9.96
ABE,PIT,6692,407.16,48.78,2.45,3.06
ABI,DFW,5004,254.28,40.62,1.29,0.06
ABQ,AMA,3430,445.79,41.3,11.78,9.4
ABQ,ATL,4798,2042.25,153.98,6.03,4.61
ABQ,BWI,752,2687.6,196.5,7.98,-6.52
ABQ,COS,152,450.62,40.68,7.47,1.87
ABQ,CVG,3465,1995.58,149.6,6.89,5.61
ABQ,DAL,11913,933.42,78.86,8.91,5.47
ABQ,DEN,13012,561.66,53.65,6.02,5.66
ABQ,DFW,13744,915.71,77.09,3.32,2.16
ABQ,ELP,8447,358.88,37.24,8.15,6.7
ABQ,EWR,79,2904.86,225.46,0.04,-3.33
ABQ,HOU,3065,1221.49,99.32,7.64,3.58
ABQ,IAH,8734,1197.35,101.32,1.17,1.6
ABQ,LAS,10333,783.75,72.63,9.65,7.88
ABQ,LAX,12520,1089.52,98.71,9.05,2.69
ABQ,LBB,3463,465.1,41.86,6.99,4.63
ABQ,MAF,1827,534.3,46.23,9.52,7.15
ABQ,MCI,4840,1155.51,92.43,10.31,5.43
ABQ,MCO,2469,2497.7,186.05,4.44,-5.03
ABQ,MDW,587,1804.07,135.86,2.85,-15.69
ABQ,MSP,3734,1578.76,129.79,5.85,2.24
ABQ,OAK,2885,1430.7,128.45,11.67,5.29
ABQ,ORD,3170,1799.24,138.61,5.89,6.21
ABQ,PDX,640,1787.98,152.69,3.98,-11.61
ABQ,PHX,34365,527.86,58.2,9.29,7.23
ABQ,SAN,6116,1010.67,92.05,10.73,5.51
ABQ,SEA,1275,1899.02,166.8,6.27,-0.73
ABQ,SFO,601,1441.97,134.26,23.38,19.88
ABQ,SLC,5811,793.4,74.77,6.55,3.95
ABQ,STL,11529,1503.12,118.2,7.1,4.15
ABQ,TPA,1826,2409.18,178.79,13.95,4.87
ABQ,TUS,2949,516.6,50.48,8.99,7.56
ACK,EWR,22,350.84,53.8,26.85,37.8
ACT,DFW,5076,143.23,30.73,-0.07,-1.17
ACY,JFK,1,148.06,33.0,106.0,98.0
