IATA,lat,lon,flight_count,origin_flight_count,dest_flight_count,avg_flight_time,avg_actual_elapsed_time,avg_scheduled_elapsed_time,avg_air_time,avg_distance,avg_dep_delay,avg_arr_delay,cancelled_origin_count,diverted_origin_count,unique_destinations,unique_origins,unique_connections
GTF,47.48200194,-111.3706853,318,159,159,91.2,91.2,92.35,77.08,904.12,0.39,3.23,1,0,3,3,6
BZN,45.77690139,-111.1530072,317,159,158,112.43,112.43,112.33,92.41,1097.19,-0.48,9.57,0,0,3,3,6
DAB,29.17991667,-81.05805556,310,155,155,96.39,96.39,93.8,73.89,755.75,7.48,9.63,0,1,2,2,4
MLB,28.10275,-80.64580556,310,155,155,105.55,105.55,104.2,84.03,873.87,5.12,7.7,0,0,2,2,4
BFL,35.43359806,-119.0567681,310,155,155,53.0,53.0,54.8,34.73,175.42,5.69,4.25,3,0,1,1,2
AVL,35.43619444,-82.54180556,310,155,155,42.7,42.7,39.4,23.97,148.06,0.78,9.35,2,0,1,1,2
SPS,33.98879611,-98.49189333,310,155,155,55.58,55.58,58.8,28.89,181.86,4.6,5.88,1,0,1,1,2
FCA,48.31140472,-114.2550694,310,155,155,112.66,112.66,116.4,95.88,1174.17,6.87,-0.19,1,2,2,3,5
FAR,46.91934889,-96.81498889,310,155,155,57.98,57.98,59.8,42.06,358.88,0.69,4.59,1,0,1,1,2
CMI,40.03925,-88.27805556,310,155,155,49.94,49.94,50.32,32.1,217.26,10.17,9.23,11,1,1,1,2
RAP,44.04532139,-103.0573708,309,155,154,89.63,89.63,87.4,72.73,788.58,0.42,-0.64,0,0,1,1,2
GGG,32.38486111,-94.71171,309,154,155,61.36,61.36,62.62,38.4,225.31,-0.56,7.33,3,0,1,1,2
PIA,40.66424333,-89.69330556,302,151,151,47.56,47.56,50.48,29.52,209.21,9.0,11.59,12,0,1,1,2
BPT,29.95083333,-94.02069444,302,151,151,90.25,90.25,93.15,65.7,434.52,1.82,5.25,1,0,1,1,2
LSE,43.87937972,-91.25653778,302,151,151,53.52,53.52,57.5,37.77,314.62,5.85,5.39,7,0,2,2,4
TXK,33.45370806,-93.99102,301,150,151,67.03,67.03,71.13,44.9,291.29,-0.61,7.38,4,1,1,1,2
EVV,38.03799139,-87.53062667,285,142,143,72.06,72.06,75.61,54.91,439.35,16.0,14.5,10,0,1,1,2
ERI,42.08202139,-80.17621556,248,124,124,45.74,45.74,44.1,29.96,175.42,-0.56,2.92,3,1,1,1,2
BIS,46.77411111,-100.7467222,248,124,124,76.87,76.87,77.0,60.53,621.21,-2.08,7.02,0,0,1,1,2
TLH,30.39652778,-84.35033333,248,124,124,63.92,63.92,64.0,43.21,358.88,1.6,12.42,3,0,1,1,2
AVP,41.33814944,-75.7242675,248,124,124,60.72,60.72,60.25,41.89,335.55,9.34,27.12,1,0,2,2,4
MFR,42.37422778,-122.8734978,248,124,124,78.18,78.18,84.75,63.29,650.58,12.02,5.66,5,0,2,2,4
VPS,30.48325,-86.5254,248,124,124,82.21,82.21,79.5,66.83,593.85,-0.56,1.47,3,0,1,1,2
SWF,41.50409361,-74.10483833,248,124,124,133.15,133.15,135.25,110.9,1149.07,16.96,16.74,8,1,1,1,2
LRD,27.54373861,-99.46154361,247,124,123,120.72,120.72,117.48,94.53,634.08,7.33,11.3,3,1,1,1,2
MLU,32.51086556,-92.03768778,242,118,124,60.96,60.96,62.22,42.73,398.13,1.14,11.43,2,0,4,4,8
BMI,40.47798556,-88.91595278,240,120,120,48.8,48.8,49.78,27.46,186.68,5.44,12.91,6,0,1,1,2
ITH,42.49102778,-76.45844444,240,120,120,44.76,44.76,45.96,28.54,223.62,-0.37,3.59,3,0,2,2,4
ELM,42.15991361,-76.89144333,240,120,120,47.48,47.48,49.25,32.86,261.57,2.4,4.02,2,0,2,2,4
DBQ,42.40295944,-90.70916722,240,120,120,47.34,47.34,50.0,30.84,236.57,4.98,6.61,4,0,1,1,2
FNT,42.96550333,-83.74345639,240,120,120,39.84,39.84,40.17,18.59,90.12,-0.48,2.47,1,0,1,1,2
JAC,43.60732417,-110.7377389,217,109,108,113.41,113.41,116.3,88.27,1066.56,16.26,12.67,0,5,3,3,6
SBN,41.70895361,-86.31847417,195,97,98,67.07,67.07,63.23,49.53,428.57,0.02,1.41,1,1,2,2,4
CRW,38.37315083,-81.59318972,186,93,93,48.92,48.92,48.67,34.55,263.93,5.8,7.74,4,1,1,1,2
MOT,48.25937778,-101.2803339,186,93,93,81.8,81.8,83.67,66.82,722.59,1.37,6.88,0,0,1,1,2
HLN,46.60681806,-111.9827503,186,93,93,63.94,63.94,65.67,49.48,516.6,-0.24,-1.32,0,0,2,2,4
BET,60.77977639,-161.8379975,186,93,93,68.26,68.26,67.33,57.14,642.13,8.84,9.01,5,0,1,1,2
GPT,30.40728028,-89.07009278,186,93,93,69.63,69.63,69.0,57.41,521.43,-1.76,1.47,2,0,1,1,2
OME,64.51220222,-165.4452458,186,93,93,86.7,86.7,86.33,74.81,867.43,19.07,18.42,9,1,1,2,3
OTZ,66.88467694,-162.5985497,186,93,93,59.06,59.06,59.0,47.96,490.85,15.73,12.38,7,5,2,1,3
ORH,42.26733944,-71.87570944,186,93,93,122.41,122.41,136.67,98.53,963.46,8.44,14.33,8,2,2,2,4
PSC,46.26468028,-119.1190292,186,93,93,69.82,69.82,71.0,54.82,623.35,7.42,11.04,0,0,2,1,3
CAK,40.91631194,-81.44246556,178,89,89,39.42,39.42,36.7,24.23,112.65,1.8,9.35,1,0,1,1,2
BRW,71.2854475,-156.7660019,160,80,80,83.53,83.53,85.24,74.23,889.88,6.51,11.08,2,1,2,1,3
FAY,34.99147222,-78.88,124,62,62,48.85,48.85,47.0,35.4,189.9,-2.22,-2.53,2,0,1,1,2
WRG,56.48432583,-132.3698242,124,62,62,26.31,26.31,24.5,17.21,90.93,18.07,21.29,3,1,2,2,4
ADQ,57.74996778,-152.4938553,124,62,62,53.83,53.83,51.0,42.24,405.55,11.55,10.6,4,0,1,1,2
DUT,53.90013889,-166.5435,124,62,62,112.22,112.22,111.0,102.98,1274.6,11.53,7.13,2,0,1,1,2
CDV,60.49183389,-145.4776503,124,62,62,46.34,46.34,43.5,34.29,300.14,17.49,19.46,3,0,2,2,4
TRI,36.47521417,-82.40742056,124,62,62,40.33,40.33,41.5,26.79,193.12,-1.02,-1.3,1,0,1,1,2
YAK,59.50336056,-139.6602261,124,62,62,44.58,44.58,43.0,34.69,331.52,16.73,17.21,3,0,2,2,4
STX,17.70188889,-64.79855556,124,62,62,207.75,207.75,208.5,183.64,2244.22,1.21,2.89,0,1,2,2,4
PSG,56.80165194,-132.9452781,124,62,62,32.0,32.0,28.5,21.2,123.92,24.53,20.81,2,1,2,2,4
LNK,40.85097222,-96.75925,116,58,58,74.48,74.48,73.53,57.95,595.46,3.9,5.97,0,0,1,1,2
AKN,58.67680167,-156.6492175,90,45,45,57.14,57.14,56.07,44.64,465.1,7.67,8.51,3,0,1,1,2
SCC,70.19475583,-148.4651608,88,44,44,99.02,99.02,100.0,87.62,1007.45,3.86,6.33,2,0,1,2,3
DLG,59.0454125,-158.5033389,88,44,44,59.55,59.55,60.66,49.29,529.47,13.11,13.73,6,0,1,1,2
GST,58.42438139,-135.7073814,62,31,31,23.65,23.65,25.0,13.81,65.98,5.97,10.94,0,0,1,1,2
BQN,18.49486111,-67.12944444,62,31,31,236.61,236.61,242.0,213.94,2550.8,-0.65,60.23,0,0,1,1,2
MQT,46.353639,-87.395361,62,31,31,82.48,82.48,74.0,60.55,487.63,16.32,48.97,0,0,1,1,2
BRO,25.90683333,-97.42586111,54,27,27,71.04,71.04,71.0,55.11,495.68,17.7,20.85,0,0,1,1,2
GFK,47.949255,-97.17611111,33,16,17,56.81,56.81,65.19,47.19,457.05,-2.62,-4.88,0,0,1,1,2
RDR,47.961167,-97.401167,31,16,15,60.0,60.0,65.0,48.06,469.93,-4.69,10.47,0,0,1,1,2
LWB,37.85830556,-80.39947222,28,14,14,50.93,50.93,51.0,38.79,297.73,6.07,4.86,0,0,1,1,2
