period,total_flights,cancelled_flights,diverted_flights,cancellation_rate_pct,avg_dep_delay_min,avg_arr_delay_min,avg_air_time_min,avg_actual_elapsed_time_min,avg_scheduled_elapsed_time_min,avg_distance_km,unique_origins,unique_destinations,unique_carriers,pct_flights_delayed_dep,pct_flights_delayed_arr
august 2001,544351,13318,1574,2.4466,10.01,8.45,103.6,126.91,128.29,1196.98,221,221,12,39.26,43.88
september 2001,490698,99324,1386,20.2414,6.9,2.29,101.84,122.54,126.96,1175.34,220,220,12,25.89,26.42
